municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
久慈市,第8弾,2018/8/11,駅前観光交流センターYOMUNOSU,岩手県久慈市中央3丁目58,電話：0194-52-7777（問い合わせ先）久慈市役所下水道整備課電話：0194-52-2189,9:00～21:30ただし、1月1日はお休みです,141.77068 : 40.19058,,,,
遠野市,第14弾,2021/4/25,道の駅みやもり内　めがねばし直売所,岩手県遠野市宮守町下宮守30地割37番地1,電話:0198-67-2929(問合せ先)遠野市環境整備部上下水道課電話:0198-62-2111,9：00～17：30（4月～9月）9：00～17：00（10月～3月）ただし、1月1日はお休みです,141.35942 : 39.35638,,,,
陸前高田市,第24弾,2024/12/20,陸前高田市教育員会管理課,岩手県陸前高田市高田町字下和野100番地,電話:0192-54-2111（内線554）,9：00～17：00ただし、土日祝日、年末年始はお休みです,141.64482 : 39.0097,,,,
釜石市（A001）,第06弾,2017/12/9,釜石観光案内所,岩手県釜石市鈴子町22-1　シープラザ釜石1階,電話：0193-27-8172,9:00～18:00ただし年末年始はお休みです,141.87201 : 39.27345,,,,
釜石市（B001）,第10弾,2019/8/7,釜石魚河岸にぎわい館「魚河岸テラス」,岩手県釜石市魚河岸3番3,電話：0193-27-5566,9:00～18:00ただし、年末年始、毎週月曜日はお休みです,141.89241 : 39.27378,,,,
釜石市(C001),第12弾,2020/4/25,いのちをつなぐ未来館,岩手県釜石市鵜住居町4丁目901,電話:0193-27-5666,9:30～17:30ただし、冬季(11月～2月)は9:30～17:00また、毎週水曜日及び年末年始はお休みです,141.88777 : 39.32778,,,,
二戸市,第17弾,2022/8/6,なにゃーと物産センター（二戸広域観光物産センター1F）,岩手県二戸市石切所字森合68番地,電話：0195-22-4395(問合せ先)二戸市建設整備部下水道課(平日8:30～17:15）電話：0195-29-1130,8：30～19：00※月末及び年末年始は営業時間が異なります。配布場所へご確認ください。,141.28644 : 40.26168,,,,
滝沢市,第17弾,2022/8/6,【平日】岩手県滝沢市下水道課【土日祝日】ビッグルーフ,【平日】岩手県滝沢市中鵜飼55【土日祝日】滝沢岩手県滝沢市下鵜飼1－15,【平日】電話：019－656－6581【土日祝日】電話：019－656－7811,【平日】9：00～17：00【土日祝日】9：00～21：00ただし、毎月第2、第4火曜日（休日の場合は翌日）及び年末年始はお休みです,141.07668 : 39.73506,,,,
山田町,第22弾,2024/4/26,道の駅やまだ「おいすた」,岩手県下閉伊郡山田町山田第５地割66番地1,電話:0193-65-6631（問合せ先）山田町上下水道課下水道チーム電話:0193-82-3111,9:00～17:00ただし、1月1日はお休みです,141.95331 : 39.47818,,,,
九戸村,第6弾,2017/12/9,道の駅おりつめ 産直施設オドデ館,岩手県九戸郡九戸村大字山屋2-28-1,電話：0195-42-4400,8:00～19:00ただし、年始（1/1、1/2）はお休みです,141.44177 : 40.25706,,,,
宮城県（流域下水道）(A001),第10弾,2019/8/7,【平日】石巻浄化センター（（株）アイ・ケー・エス）【土日祝】みやぎ東日本大震災津波伝承館（受付）,【平日】宮城県石巻市蛇田字新〆切5-2【土日祝】宮城県石巻市南浜町2丁目1-56,【平日】電話:0225-94-1994【土日祝】電話:0225-98-8081（問い合わせ先）宮城県東部下水道事務所電話:0225-23-7381,【平日】9:00~16:30（昼休み12:00〜13:00）【土日祝】9:00~16:30（毎月11日は曜日・祝日にかかわらず開館）,141.28622 : 38.4627,141.30484 : 38.41848,,,
宮城県(流域下水道)(B001),第14弾,2021/4/25,【平日】県南浄化センター内 (株)みずむすびサービスみやぎ 県南浄化センター管理棟内【休日】道の駅「村田」（村田町物産交流センター）,【平日】宮城県岩沼市下野郷字赤江川1-3【休日】宮城県柴田郡村田町大字村田字北塩内41,【平日】電話:0223-22-1382※お越しの際は、管理棟入り口正面の内線電話から連絡をお願いします【休日】電話:0224-83-5505(問合せ先)宮城県中南部下水道事務所電話:022-367-4003,【平日】9:00-16:00（昼休み12時00分～13時00分）ただし、お盆期間，年末年始はお休みです【休日】9:00-17:00ただし、年末年始（12月30～1月2日）はお休みです。,140.92807 : 38.11317,140.71736 : 38.11852,,,
宮城県(流域下水道)(C001),第18弾,2023/1/28,宮城県伊豆沼・内沼サンクチュアリセンター,宮城県栗原市若柳字上畑岡敷味17-2,電話：0228-33-2216(問合せ先)宮城県東部下水道事務所電話：0225-23-7381,9:00～16:30（昼休み12:00～13:00）ただし、毎週月曜日及び祝日の翌日（月曜日が国民の祝日にあたる場合は、その翌日）、年末(12月29日～12月31日）はおやすみです,141.07222 : 38.72779,,,,
仙台市,第8弾,2018/8/11,せんだいメディアテーク,宮城県仙台市青葉区春日町2-1,電話：022-713-3171（問い合わせ先）仙台市建設局経営企画課電話：022-214-8812,9:00～21:00ただし、休館日はお休みです休館日は左記施設のサイトでご確認ください,140.8653 : 38.2654,,,,
石巻市,第10弾,2019/8/7,石巻市かわまち交流センター,宮城県石巻市中央二丁目11番17,電話：0225-93-6448,9:00～17:00ただし、年末年始(12/29～1/3)はお休みです,141.30952 : 38.4301,,,,
白石市,第6弾,2017/12/9,白石城歴史探訪ミュージアム,宮城県白石市益岡町1-16,電話：0224-24-3030,【4～10月】9:00～17:00【11～3月】9:00～16:00ただし、年末（12/28～12./31）はお休みです,140.61761 : 38.00256,,,,
名取市(A001),第08弾,2018/8/11,ウイングプラザ（名取駅コミュニティプラザ）,宮城県名取市手倉田字八幡287-15,電話：022-383-6330（問い合わせ先）名取市建設部下水道課電話：022-724-7131,【平日】8:30～17:00【休日】9:00～17:00ただし、年末年始（12/29～1/3）、臨時休館日はお休みです臨時休館日は、3月と9月の第2または第3土曜日の14時から終日を予定しています。詳細は左記施設へお問い合わせください,140.88054 : 38.17393,,,,
名取市(B001),第23弾,2024/7/26,尚絅学院大学　地域連携交流プラザ,宮城県名取市杜せきのした5丁目3-1（イオンモール名取内あおばコート3階）,電話:022-381-1490※令和７年１月２１日から住所と電話番号が下記に変わります名取市観光物産協会　ナトリサン宮城県名取市杜せきのした５丁目３−１（イオンモール名取１Ｆ）電話：022-386-6526（問合せ先）名取市建設部下水道課電話:022-724-7131,10：00～17：00ただし、水曜日、年末年始（12月27日～1月3日）及び臨時休館日はお休みです※令和７年１月２１日から配布時間が下記に変わります10：00〜17：00ただし、月曜日（月曜日が祝日の場合は翌日火曜日）,140.89578 : 38.16373,,,,
多賀城市（A001）,第07弾,2018/4/28,多賀城市埋蔵文化財調査センター展示室（多賀城市文化センター内）,宮城県多賀城市中央2-27-1,電話：022-368-0134（問合せ先）多賀城市上下水道部企業経営課電話:022-745-8049,9：00～16：30ただし、月曜日（祝日の場合を除く）、祝日の翌日（土曜日・日曜日を除く）、年末年始（12/28～1/4）、その他臨時休館日はお休みです※多賀城市埋蔵文化財調査センターが休館日の場合、史都多賀城観光案内所での配布となります,141.00507 : 38.29534,,,,
多賀城市（B001）,第08弾,2018/8/11,史都多賀城観光案内所（JR仙石線多賀城駅）,宮城県多賀城市中央2-1-7,電話：022-364-5901（問合せ先）多賀城市上下水道部企業経営課電話:022-745-8049,10:00～16:00ただし、年末年始と臨時休業日はお休みです,141.00461 : 38.29376,,,,
多賀城市(C001),第22弾,2024/4/26,【平日】多賀城市上下水道部庁舎 1階,宮城県多賀城市中央2-25-7,電話：022-745-8049【土日祝日】史都多賀城観光案内所（JR仙石線多賀城駅）多賀城市中央2-1-7電話022-364-5901（問合せ先）多賀城市上下水道部企業経営課電話:022-745-8049,【平日】8：30～17：00【土日祝日】10：00～16：00,141.00542 : 38.29643,,,,
東松島市（A001）,第04弾,2017/4/3,東松島市震災復興伝承館,宮城県東松島市野蒜北余景56-36,電話：0225-86-2985,9:00～17:00ただし、毎月第3水曜日は定休日です。,141.15868 : 38.37495,,,,
東松島市（B001）,第09弾,2018/12/14,Harappa 本店,宮城県東松島市矢本字北浦485番地1,電話：0225-24-6740,9:00～16:30ただし、年末年始はお休みです※なお、営業時間が臨時に変更されることが多いため、配布場所にご確認ください,141.21956 : 38.42323,,,,
東松島市(C001),第21弾,2023/12/15,東松島市市役所 鳴瀬庁舎2階 下水道課窓口,宮城県東松島市矢本上河戸36-1,電話0225-82-1111,9:00~17:00ただし、土日、祝日、年末年始はお休みです,141.21101 : 38.42539,,,,
富谷市,第22弾,2024/4/26,富谷宿観光交流ステーションとみやど,宮城県富谷市富谷新町111-1,電話:022-347-3344（問合せ先）富谷市建設部上下水道課電話:022-358-0529,10：00～17：00ただし、火曜日（祝日の場合は翌日）はお休みです,140.86945 : 38.37181,,,,
大河原町,第7弾,2018/4/28,【平日】大河原町役場 上下水道課【休日】大河原町役場 守衛室【祝日、年末年始】亘理町役場　警備員室,【平日休日】宮城県柴田郡大河原町字新南19【祝日年末年始】宮城県亘理郡亘理町字悠里1,電話：0224-53-2116,9:00～17:00（年中無休）,140.73076 : 38.0492,140.86879 : 38.04423,,,
亘理町,第16弾,2022/1/15,【平日】亘理町上下水道課【土日】亘理町立郷土資料館,【平日】宮城県亘理郡亘理町字悠里1【土日】宮城県亘理郡亘理町字西郷140,【平日】電話：0223-34-0515【土日】電話：0223-34-8701【祝日、年末年始】電話：0223-34-0515,【平日】8：30～17：15【土日】9：00～16：30【祝日、年末年始】8：30～17：15,140.86879 : 38.04423,140.86148 : 38.04037,,,
七ヶ浜町,第9弾,2018/12/14,七ヶ浜国際村,宮城県宮城郡七ヶ浜町花渕浜字大山1-1,(問い合わせ先)七ヶ浜町水道事業所電話：022-357-7458,10:00～17:00ただし、火曜日（火曜日が祝日の場合は翌日）、年末年始はお休みです,141.0685 : 38.30016,,,,
利府町,第14弾,2021/4/25,利府町役場町民交流館「ペア・パル利府」,宮城県宮城郡利府町利府字新並松４番地,電話:022-767-2111,【平日】8：30～17：15【土日祝日】9：00～17：15ただし、年末年始（12月28日から1月4日）及び臨時休館日はお休みです,140.97592 : 38.33031,,,,
大和町,第13弾,2020/12/17,大和町ふれあい文化創造センター,宮城県黒川郡大和町吉岡南2丁目-14,電話：022-344-4401（問合せ先）大和町上下水道課電話：022-345-2850,9：00～17：00ただし、第1・3火曜日、年末年始（12/28～1/4）、臨時閉館日はお休みです,140.878019 : 38.443538,,,,
大郷町,第25弾,2025/04/25,道の駅　おおさと,宮城県黒川郡大郷町中村字北浦51番地6,電話:022-359-2675,9：00から18：00ただし、閉館日はお休みです,140.992781 : 38.424057,,,,
大衡村(A001),第05弾,2017/8/1,【開庁日】大衡村役場1階都市建設課【閉庁日】大衡村役場守衛室,宮城県黒川郡大衡村大衡字平林62番地,電話:022-341-8516,【開庁日】9：00～17：00【閉庁日】9：00～17：00,140.87994 : 38.46721,,,,
大衡村(B001),第24弾,2024/12/20,万葉・おおひら館,宮城県黒川郡大衡村大衡字鐙沢12番地2,電話:022-347-2188（問合せ先）大衡村役場都市建設課電話:022-341-8516,9：00～18：00ただし、正月元旦から4日まではお休みです,140.89059 : 38.47153,,,,
涌谷町,第3弾,2016/12/1,わくや万葉の里 天平ろまん館,宮城県遠田郡涌谷町涌谷字黄金山1-3,電話：0229-43-2100,9:30～17:00（11月～3月は16:30まで）ただし、休館日はお休みです休館日は左記施設ホームページでご確認ください,141.13959 : 38.55156,,,,
女川町,第9弾,2018/12/14,女川町たびの情報館ぷらっと,宮城県牡鹿郡女川町女川浜字大原479番地の20 SG-7街区1画地,電話：0225-54-4328,9:00～15:00（年中無休）,141.43919 : 38.45109,,,,
秋田市（A001）,第1弾,2016/4/1,秋田市上下水道局 下水道整備課,秋田県秋田市川尻みよし町14-8,電話：018-864-1455,8:30～17:15土曜、日曜、祝日、年末年始は守衛室で配布します。,140.0968 : 39.71,,,,
秋田市（B001）,第8弾,2018/8/11,道の駅あきた港セリオン,秋田県秋田市土崎港西1-9-1,電話：018-857-3381,9:00～17:30,140.06168 : 39.75275,,,,
能代市,第11弾,2019/12/14,能代バスケミュージアム,秋田県能代市柳町5-20,電話:0185-88-8876(問合せ先)能代市下水道課下水道管理係電話:0185-89-2202,9：30～18：00（平日及び土日祝日）ただし、臨時休館日は配布しません,140.02737 : 40.20946,,,,
